Title (w/ year),Country,Language,Release_Date
The Cat and the Canary (1978) ,"
Country:
UK
","
Language:
English
","
Release Date: 1979 (UK)
    
See more »
    
"
The Thirty Nine Steps (1978) ,"
Country:
UK
","
Language:
English
","
Release Date: 2 May 1980 (USA)
    
See more »
    
"
Spiritual Kung Fu (1978) ,"
Country:
Hong Kong
|
Taiwan
","
Language:
Cantonese
|
Mandarin
","
Release Date: 23 November 1978 (Hong Kong)
    
See more »
    
"
"Same Time, Next Year (1978) ","
Country:
USA
","
Language:
English
","
Release Date: 8 March 1979 (UK)
    
See more »
    
"
French Fried Vacation (1978) ,"
Country:
France
","
Language:
French
","
Release Date: 22 November 1978 (France)
    
See more »
    
"
A Simple Story (1978) ,"
Country:
France
|
West Germany
","
Language:
French
|
English
","
Release Date: November 1979 (USA)
    
See more »
    
"
In a Year with 13 Moons (1978) ,"
Country:
West Germany
","
Language:
German
","
Release Date: 11 June 1980 (USA)
    
See more »
    
"
The Lord of the Rings (1978) ,"
Country:
USA
|
UK
|
Spain
","
Language:
English
|
Sindarin
","
Release Date: 15 November 1978 (USA)
    
See more »
    
"
Killer of Sheep (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 November 1978 (USA)
    
See more »
    
"
Magic (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 8 November 1978 (USA)
    
See more »
    
"
Avanak Apti (1978) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: October 1978 (Turkey)
    
See more »
    
"
Long Weekend (1978) ,"
Country:
Australia
","
Language:
English
","
Release Date: 29 March 1979 (USA)
    
See more »
    
"
Odds and Evens (1978) ,"
Country:
Italy
|
USA
","
Language:
Italian
|
French
","
Release Date: 28 October 1978 (Italy)
    
See more »
    
"
Conqueror of Destiny (1978) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 27 October 1978 (India)
    
See more »
    
"
Halloween (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 October 1978 (USA)
    
See more »
    
"
Comes a Horseman (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 October 1978 (USA)
    
See more »
    
"
La Cage aux Folles (1978) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 30 March 1979 (USA)
    
See more »
    
"
The Wiz (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 24 October 1978 (USA)
    
See more »
    
"
Watership Down (1978) ,"
Country:
UK
","
Language:
English
","
Release Date: 1 November 1978 (USA)
    
See more »
    
"
Carry on Emmannuelle (1978) ,"
Country:
UK
","
Language:
English
","
Release Date: 7 December 1978 (USA)
    
See more »
    
"
The Escape (1978) ,"
Country:
France
","
Language:
French
","
Release Date: 11 October 1978 (France)
    
See more »
    
"
The Meetings of Anna (1978) ,"
Country:
France
|
Belgium
|
West Germany
","
Language:
French
","
Release Date: 8 November 1978 (France)
    
See more »
    
"
Perceval le Gallois (1978) ,"
Country:
France
|
Italy
|
West Germany
","
Language:
French
","
Release Date: 7 February 1979 (France)
    
See more »
    
"
Autumn Sonata (1978) ,"
Country:
Sweden
|
France
|
West Germany
|
UK
|
Norway
","
Language:
Swedish
|
English
","
Release Date: 18 October 1978 (USA)
    
See more »
    
"
Olsen-banden går i krig (1978) ,"
Country:
Denmark
","
Language:
Danish
|
German
","
Release Date: 6 October 1978 (Denmark)
    
See more »
    
"
Goin' South (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 October 1978 (USA)
    
See more »
    
"
The Big Fix (1978) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 6 October 1978 (USA)
    
See more »
    
"
Drunken Master (1978) ,"
Country:
Hong Kong
","
Language:
Mandarin
|
Cantonese
","
Release Date: 5 October 1978 (Hong Kong)
    
See more »
    
"
Lo chiamavano Bulldozer (1978) ,"
Country:
Italy
|
West Germany
","
Language:
Italian
","
Release Date: 5 October 1978 (West Germany)
    
See more »
    
"
Attack of the Killer Tomatoes! (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 December 1978 (Brazil)
    
See more »
    
"
Patrick (1978) ,"
Country:
Australia
","
Language:
English
","
Release Date: 7 September 1979 (USA)
    
See more »
    
"
The Legacy (1978) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 14 September 1979 (USA)
    
See more »
    
"
Death on the Nile (1978) ,"
Country:
UK
","
Language:
English
|
French
|
Arabic
|
German
","
Release Date: 29 September 1978 (USA)
    
See more »
    
"
Paradise Alley (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 September 1978 (USA)
    
See more »
    
"
Stay as You Are (1978) ,"
Country:
Italy
|
Spain
","
Language:
Italian
|
English
","
Release Date: 14 September 1978 (Italy)
    
See more »
    
"
La escopeta nacional (1978) ,"
Country:
Spain
","
Language:
Spanish
|
Catalan
","
Release Date: 14 September 1978 (Spain)
    
See more »
    
"
Who Is Killing the Great Chefs of Europe? (1978) ,"
Country:
West Germany
|
USA
|
Italy
|
France
","
Language:
English
|
French
","
Release Date: 13 September 1978 (France)
    
See more »
    
"
Days of Heaven (1978) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 6 October 1978 (USA)
    
See more »
    
"
A Wedding (1978) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 27 September 1978 (USA)
    
See more »
    
"
The Silent Partner (1978) ,"
Country:
Canada
","
Language:
English
","
Release Date: 16 March 1979 (USA)
    
See more »
    
"
Dawn of the Dead (1978) ,"
Country:
USA
|
Italy
","
Language:
English
|
Spanish
","
Release Date: 24 May 1979 (USA)
    
See more »
    
"
Girlfriends (1978) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: August 1978 (USA)
    
See more »
    
"
Avalanche (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 29 September 1978 (USA)
    
See more »
    
"
"I'm Shy, But I'll Heal (1978) ","
Country:
France
","
Language:
French
","
Release Date: January 1983 (USA)
    
See more »
    
"
The Boys from Brazil (1978) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 6 October 1978 (USA)
    
See more »
    
"
Force 10 from Navarone (1978) ,"
Country:
UK
","
Language:
English
|
Croatian
|
Serbian
","
Release Date: 8 December 1978 (USA)
    
See more »
    
"
Five Deadly Venoms (1978) ,"
Country:
Hong Kong
","
Language:
Mandarin
","
Release Date: 12 August 1978 (Hong Kong)
    
See more »
    
"
Up in Smoke (1978) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 15 September 1978 (USA)
    
See more »
    
"
Piranha (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 August 1978 (USA)
    
See more »
    
"
Who'll Stop the Rain (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 August 1978 (France)
    
See more »
    
"
Interiors (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 October 1978 (Canada)
    
See more »
    
"
Eyes of Laura Mars (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 August 1978 (USA)
    
See more »
    
"
Adela Has Not Had Supper Yet (1978) ,"
Country:
Czechoslovakia
","
Language:
Czech
","
Release Date: 1 August 1978 (Czechoslovakia)
    
See more »
    
"
Hooper (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 July 1978 (USA)
    
See more »
    
"
National Lampoon's Animal House (1978) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 28 July 1978 (USA)
    
See more »
    
"
Circle of Iron (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 July 1978 (France)
    
See more »
    
"
International Velvet (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 September 1978 (Denmark)
    
See more »
    
"
The Swarm (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 July 1978 (USA)
    
See more »
    
"
Foul Play (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 July 1978 (USA)
    
See more »
    
"
Revenge of the Pink Panther (1978) ,"
Country:
UK
|
USA
","
Language:
English
|
Latin
","
Release Date: 19 July 1978 (USA)
    
See more »
    
"
Sgt. Pepper's Lonely Hearts Club Band (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 24 July 1978 (USA)
    
See more »
    
"
Battlestar Galactica (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 May 1979 (USA)
    
See more »
    
"
Les raisins de la mort (1978) ,"
Country:
France
","
Language:
French
","
Release Date: 5 July 1978 (France)
    
See more »
    
"
Hot Lead and Cold Feet (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 July 1978 (USA)
    
See more »
    
"
Yi zhao ban shi chuang jiang hu (1978) ,"
Country:
Taiwan
|
Hong Kong
","
Language:
Mandarin
","
Release Date: 1985 (USA)
    
See more »
    
"
Good Guys Wear Black (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1978 (USA)
    
See more »
    
"
The Bad News Bears Go to Japan (1978) ,"
Country:
Japan
|
USA
","
Language:
English
|
Japanese
","
Release Date: 30 June 1978 (USA)
    
See more »
    
"
The Wild Geese (1978) ,"
Country:
Switzerland
|
UK
","
Language:
English
","
Release Date: 11 November 1978 (USA)
    
See more »
    
"
Heaven Can Wait (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 June 1978 (USA)
    
See more »
    
"
The Water Babies (1978) ,"
Country:
Poland
|
UK
","
Language:
English
","
Release Date: 15 June 1979 (USA)
    
See more »
    
"
Jaws 2 (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 June 1978 (USA)
    
See more »
    
"
Go Tell the Spartans (1978) ,"
Country:
USA
","
Language:
English
|
Vietnamese
","
Release Date: 1 September 1978 (USA)
    
See more »
    
"
Grease (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 June 1978 (USA)
    
See more »
    
"
Convoy (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 June 1978 (Japan)
    
See more »
    
"
The Cheap Detective (1978) ,"
Country:
USA
","
Language:
English
|
German
","
Release Date: 23 June 1978 (USA)
    
See more »
    
"
The Cat from Outer Space (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 June 1978 (USA)
    
See more »
    
"
The Driver (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 August 1978 (USA)
    
See more »
    
"
Damien: Omen II (1978) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 9 June 1978 (USA)
    
See more »
    
"
Corvette Summer (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 June 1978 (USA)
    
See more »
    
"
Fedora (1978) ,"
Country:
France
|
West Germany
","
Language:
English
|
Greek
|
French
","
Release Date: 13 September 1978 (France)
    
See more »
    
"
The Chant of Jimmie Blacksmith (1978) ,"
Country:
Australia
","
Language:
English
","
Release Date: 22 June 1978 (Australia)
    
See more »
    
"
La montagna del dio cannibale (1978) ,"
Country:
Italy
","
Language:
English
|
Italian
","
Release Date: 13 April 1979 (USA)
    
See more »
    
"
Big Wednesday (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 May 1978 (USA)
    
See more »
    
"
I Spit on Your Grave (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 November 1978 (USA)
    
See more »
    
"
The Shout (1978) ,"
Country:
UK
","
Language:
English
","
Release Date: 10 August 1979 (USA)
    
See more »
    
"
Violette (1978) ,"
Country:
France
|
Canada
","
Language:
French
","
Release Date: 7 October 1978 (USA)
    
See more »
    
"
The Adventures of Picasso (1978) ,"
Country:
Sweden
","
Language:
Swedish
|
German
|
Spanish
|
Latin
|
Italian
|
French
|
Finnish
|
English
|
Russian
","
Release Date: 20 May 1978 (Sweden)
    
See more »
    
"
Thank God It's Friday (1978) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 19 May 1978 (USA)
    
See more »
    
"
Despair (1978) ,"
Country:
West Germany
|
France
","
Language:
English
","
Release Date: 20 September 1978 (France)
    
See more »
    
"
Empire of Passion (1978) ,"
Country:
Japan
|
France
","
Language:
Japanese
","
Release Date: 26 March 1979 (USA)
    
See more »
    
"
Midnight Express (1978) ,"
Country:
UK
|
USA
","
Language:
English
|
Maltese
|
French
|
Turkish
","
Release Date: 6 October 1978 (USA)
    
See more »
    
"
The Buddy Holly Story (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 September 1978 (UK)
    
See more »
    
"
The Tree of Wooden Clogs (1978) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 1 June 1979 (USA)
    
See more »
    
"
The Greek Tycoon (1978) ,"
Country:
USA
","
Language:
English
|
Greek
|
Japanese
","
Release Date: 24 August 1978 (Netherlands)
    
See more »
    
"
Don (1978) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 12 May 1978 (India)
    
See more »
    
"
It Lives Again (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 May 1978 (USA)
    
See more »
    
"
The End (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 May 1978 (USA)
    
See more »
    
"
Warlords of the Deep (1978) ,"
Country:
UK
","
Language:
English
","
Release Date: May 1978 (USA)
    
See more »
    
"
Trident (1978) ,"
Country:
India
","
Language:
Hindi
|
Urdu
","
Release Date: 5 May 1978 (India)
    
See more »
    
"
The Evil (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 May 1978 (USA)
    
See more »
    
"
Deathsport (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: April 1978 (USA)
    
See more »
    
"
Uchu kara no messeji (1978) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 30 October 1978 (USA)
    
See more »
    
"
I Wanna Hold Your Hand (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 1978 (UK)
    
See more »
    
"
The Manitou (1978) ,"
Country:
Canada
|
USA
","
Language:
English
","
Release Date: 15 April 1978 (Japan)
    
See more »
    
"
F.I.S.T. (1978) ,"
Country:
USA
","
Language:
English
|
Hungarian
|
Lithuanian
|
Latin
|
Italian
","
Release Date: 28 April 1978 (USA)
    
See more »
    
"
The Medusa Touch (1978) ,"
Country:
UK
|
France
","
Language:
English
","
Release Date: 7 April 1978 (UK)
    
See more »
    
"
Pretty Baby (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 April 1978 (USA)
    
See more »
    
"
The Green Room (1978) ,"
Country:
France
","
Language:
French
|
French Sign Language
|
Latin
","
Release Date: 5 April 1978 (France)
    
See more »
    
"
Game of Death (1978) ,"
Country:
Hong Kong
|
USA
","
Language:
English
|
Mandarin
|
Cantonese
","
Release Date: 8 June 1979 (USA)
    
See more »
    
"
Piedone l'africano (1978) ,"
Country:
Italy
|
West Germany
","
Language:
Italian
|
English
","
Release Date: 22 March 1978 (Italy)
    
See more »
    
"
Straight Time (1978) ,"
Country:
USA
","
Language:
English
|
Spanish
|
Cantonese
","
Release Date: 21 April 1978 (Italy)
    
See more »
    
"
An Enemy of the People (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 March 1978 (USA)
    
See more »
    
"
The Discord (1978) ,"
Country:
France
","
Language:
French
","
Release Date: 22 March 1978 (France)
    
See more »
    
"
House Calls (1978) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 15 March 1978 (USA)
    
See more »
    
"
The Big Sleep (1978) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 7 April 1978 (UK)
    
See more »
    
"
Return from Witch Mountain (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 March 1978 (USA)
    
See more »
    
"
Gray Lady Down (1978) ,"
Country:
USA
","
Language:
English
|
Norwegian
","
Release Date: April 1978 (USA)
    
See more »
    
"
The Fury (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 March 1978 (USA)
    
See more »
    
"
Lucky Luke: Ballad of the Daltons (1978) ,"
Country:
France
","
Language:
French
","
Release Date: 7 May 1979 (USA)
    
See more »
    
"
She he ba bu (1978) ,"
Country:
Hong Kong
|
Taiwan
","
Language:
Mandarin
","
Release Date: 8 March 1978 (Hong Kong)
    
See more »
    
"
Ecce bombo (1978) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 8 March 1978 (Italy)
    
See more »
    
"
